Hashtag,Count
sustainability,0
innovation,1
environment,0
climatechange,0
tech,9
csr,0
energy,0
renewables,0
sdgs,0
green,0
sustainable,0
earthday,0
housing,0
design,0
solar,0
circulareconomy,0
smartcities,0
foodinnovation,0
climate,0
water,0
recycling,0
energyefficiency,0
esg,0
leadership,0
technology,0
architecture,0
food,0
zerowaste,0
cleanenergy,0
globalgoals,0
plastic,2
business,0
eco,5
education,1
climateaction,0
blockchain,0
solarenergy,0
construction,0
ecofriendly,0
plasticfree,0
可持續發展,726
創新,495
環境,244
氣候變化,29
科技,924
企業社會責任,5
能源,593
可再生能源,80
可持續發展目標,7
綠色,326
可持續的,22
地球日,0
住房,28
設計,98
太陽的,0
循環經濟,2
智慧城市,7
食品創新,0
氣候,45
水,901
回收,42
能源效率,0
esg,0
領導,91
技術,409
建築,169
食物,6
零浪費,0
潔淨能源,0
全球目標,0
塑膠,5
商業,431
生態,140
教育,383
氣候行動,0
區塊鏈,39
太陽能,34
建造,87
環保的,4
無塑,0